species_key	sample_name	name_for_atlas
medicago	A17_0h_extended	Pereira_A17_roots
medicago	sunn_0h_extended	Pereira_sunn_roots
medicago	CRR548852_extended	Liu_roots_rep1
medicago	CRR718182_extended	Liu_roots_rep2
medicago	SRR20997727_extended	Cervantes_roots_rep1
medicago	SRR20997728_extended	Cervantes_roots_rep2
medicago	SRR20997729_extended	Cervantes_roots_rep3
medicago	SRR20997730_extended	Cervantes_roots_rep4
medicago	SRR20997731_extended	Cervantes_roots_rep5
medicago	CRR548853_extended	Liu_0.5hpi_rep1
medicago	CRR718183_extended	Liu_0.5hpi_rep2
medicago	CRR548854_extended	Liu_6hpi_rep2
medicago	CRR718184_extended	Liu_6hpi_rep2
medicago	CRR548855_extended	Liu_24hpi_rep3
medicago	CRR718185_extended	Liu_24hpi_rep2
medicago	A17_24h_extended	Pereira_A17_24hpi
medicago	sunn_24h_extended	Pereira_sunn_24hpi
medicago	A17_48h_extended	Pereira_A17_48hpi
medicago	sunn_48h_extended	Pereira_sunn_48hpi
medicago	SRR20997723_extended	Cervantes_48hpi_rep1
medicago	SRR20997724_extended	Cervantes_48hpi_rep2
medicago	SRR20997725_extended	Cervantes_48hpi_rep3
medicago	SRR20997726_extended	Cervantes_48hpi_rep4
medicago	A17_96h_extended	Pereira_A17_96hpi
medicago	sunn_96h_extended	Pereira_sunn_96hpi
medicago	CRR574231_extended	Ye_14dpi_rep1
medicago	CRR574232_extended	Ye_14dpi_rep2
lotus	Lotus_WT_mock_5dpi_rep1	Frank_roots_5d_rep1
lotus	Lotus_WT_mock_5dpi_rep2	Frank_roots_5d_rep2
lotus	Lotus_WT_mock_10dpi_rep1	Frank_roots_10d_rep1
lotus	Lotus_WT_mock_10dpi_rep2	Frank_roots_10d_rep2
lotus	Lotus_WT_Mloti_5dpi_rep1	Frank_nodules_5d_rep1
lotus	Lotus_WT_Mloti_5dpi_rep2	Frank_nodules_5d_rep2
lotus	Lotus_WT_Mloti_10dpi_rep1	Frank_nodules_10d_rep1
lotus	Lotus_WT_Mloti_10dpi_rep2	Frank_nodules_10d_rep2
glycine	CRA007122_CRR513372	Liu_roots
glycine	CRA010085_CRR706286	Sun_roots
glycine	GSE270392_GSM8341870	Zhang_roots_rep1
glycine	GSE270392_GSM8341869	Zhang_roots_rep2
glycine	GSE226149_GSM7065808	Cervantes_roots_rep1
glycine	GSE226149_GSM7065807	Cervantes_roots_rep2
glycine	GSE226149_GSM7065809	Cervantes_roots_rep3
glycine	CRA007122_CRR513370	Liu_12dpi
glycine	CRA010085_CRR706287	Sun_14dpi
glycine	GSE270392_GSM8341868	Zhang_15dpi_rep1
glycine	GSE270392_GSM8341867	Zhang_15dpi_rep2
glycine	CRA007122_CRR513371	Liu_21dpi
glycine	GSE226149_GSM7065811	Cervantes_28dpi_rep1
glycine	GSE226149_GSM7065810	Cervantes_28dpi_rep2
